id,date,blue_r,green_r,red_r,nir_r,ndvi,evi,gci,gpp
1,20160813T190352,0.093305124,0.086418168,0.060239441,0.381721739,0.727399402,0.770297959,3.417146872,31.4294685
2,20161211T190342,0.101071429,0.079536335,0.059990062,0.115803727,0.317495089,0.194416234,0.455985194,4.0775845
3,20161221T185802,0.113617391,0.09898913,0.065554814,0.253848447,0.589516942,0.592083419,1.564407285,3.1828305
4,20161231T185802,0.257440373,0.227195497,0.221188975,0.28983354,0.134327868,0.250102401,0.275701078,2.320963
5,20170110T185742,0.624552485,0.578987888,0.60275528,0.590946584,-0.0098925,-0.056410827,0.020654483,2.415024
6,20170130T185621,0.25022205,0.212349689,0.19487764,0.26023354,0.143604252,0.295549387,0.225495272,4.2961255
7,20170209T185521,0.666360714,0.617469255,0.642870031,0.639135404,-0.002913114,-0.018723682,0.035088628,2.7109365
8,20170219T185421,0.626493323,0.592140217,0.62568028,0.653291926,0.021588934,0.097406066,0.103272344,10.0393885
9,20170301T190341,0.089596584,0.078518789,0.056270186,0.219095652,0.591305976,0.460092868,1.79035955,8.224967
10,20170311T185151,0.132335248,0.119677329,0.094964286,0.269982609,0.47957203,0.516428165,1.255921071,26.436394
11,20170321T190341,0.590190062,0.559284317,0.583610404,0.620124224,0.030333779,0.131276454,0.108781714,14.899069
12,20170331T184921,0.081827795,0.080604814,0.039392081,0.462795031,0.843117914,0.975188218,4.741530935,28.276044
13,20170410T190351,0.111515528,0.104662267,0.070858385,0.442325466,0.723847954,0.900649123,3.226217127,36.9058105
14,20170420T184921,0.084726398,0.079278727,0.040094565,0.412024845,0.822637275,0.914153223,4.197167788,27.2571105
15,20170430T190351,0.11035559,0.111842391,0.113364286,0.281880745,0.426359464,0.371378105,1.520339042,6.588177
16,20170510T184921,0.096239596,0.100822671,0.056712267,0.476372671,0.787229903,0.958260656,3.724856692,36.4623415
17,20170520T190351,0.085430124,0.085888043,0.042737888,0.551840994,0.856241486,1.090116961,5.425120092,41.357518
18,20170619T184921,0.090663354,0.087332453,0.049339596,0.446862112,0.801130889,0.934973516,4.116793292,38.3617815
19,20170629T190351,0.120240528,0.121088044,0.144430124,0.262424845,0.290016663,0.240373541,1.167223428,5.125856
20,20170709T184921,0.10198587,0.100913354,0.086850311,0.349913044,0.602300377,0.594561446,2.467460248,22.18527
21,20170719T190351,0.093440062,0.088165839,0.068602329,0.374760248,0.690536222,0.705060151,3.250628755,32.053926
22,20170729T184921,0.137831056,0.14659146,0.189813975,0.331925466,0.272380195,0.24722327,1.264289248,4.1455315
23,20170808T190351,0.113299379,0.114728261,0.124624689,0.317575155,0.436342229,0.396828657,1.768063883,16.5966815
24,20170818T184921,0.110341304,0.105025311,0.096795497,0.333490683,0.550087819,0.544525492,2.175336319,22.8515835
25,20170907T184921,0.182155745,0.16191118,0.152522205,0.25091677,0.243889587,0.307528411,0.549718618,11.4872055
